,id,event2,datetime,bodyweight,impulse,duration,left_impulse,left_duration,right_impulse,right_duration,impulse_ratio,impulse_time_diff
10,01103FA4B2,17-2024-12-11,2024-12-11 08:14:00.229,0.0968827646702097,0.011443587043782314,0.06499999999999995,0.00742102576609141,0.04899999999999993,0.0044145763532496335,0.016000000000000014,1.6810278432784804,0.03299999999999992
11,3B00192E1E,20-2024-12-11,2024-12-11 08:16:00.231,0.1005858192823128,0.010870952643398614,0.04799999999999999,0.0049458502583592774,0.02400000000000002,0.0062925090238034375,0.023999999999999966,0.7859901733394437,5.551115123125783e-17
12,01103F9A64,21-2024-12-11,2024-12-11 08:18:16.229,0.17343810965076,0.027605590594156314,0.05600000000000005,0.01775208255675954,0.038000000000000034,0.010772283637023865,0.018000000000000016,1.6479405068528286,0.020000000000000018
13,3B00182A81,22-2024-12-11,2024-12-11 08:19:17.231,0.0991547467342567,0.013258371988893397,0.050000000000000044,0.005854987274928912,0.02400000000000002,0.007808445968983001,0.026000000000000023,0.7498274686392542,-0.0020000000000000018
14,3B00192E1E,23-2024-12-11,2024-12-11 08:21:52.229,0.0938462928769488,0.011745910066313339,0.052000000000000046,0.00504164530252807,0.02499999999999991,0.007056422885746259,0.027000000000000135,0.7144760715393103,-0.002000000000000224
15,3B00199DE5,24-2024-12-11,2024-12-11 08:22:00.229,0.1123533740676661,0.012512778342144645,0.08200000000000002,0.004234004060788045,0.05400000000000005,0.00872056932141722,0.02799999999999997,0.4855192252631457,0.02600000000000008
16,3B00182A81,25-2024-12-11,2024-12-11 08:28:26.230,0.0991547467342567,0.012893145635491732,0.07699999999999996,0.006870108336824135,0.05400000000000005,0.006395513408303926,0.02299999999999991,1.0742074792469352,0.03100000000000014
17,3B00182A81,26-2024-12-11,2024-12-11 08:30:15.229,0.0929029913190344,0.00293440591170541,0.038000000000000256,0.001871738263692634,0.026000000000000245,0.0012069118020021274,0.01200000000000001,1.5508492506143665,0.014000000000000234
18,01103F9A64,28-2024-12-11,2024-12-11 08:37:34.233,0.1734381096507601,0.026349769343578928,0.051000000000000156,0.017227304035533755,0.03500000000000014,0.010036016148183162,0.016000000000000014,1.7165480586290651,0.019000000000000128
19,3B0019B8CC,29-2024-12-11,2024-12-11 08:37:45.230,0.1538416953491121,0.020494439120247218,0.05699999999999994,0.01240332866102804,0.038000000000000034,0.008732987400976184,0.018999999999999906,1.420284730932004,0.019000000000000128
20,3B0018C2F6,30-2024-12-11,2024-12-11 08:38:40.229,0.1485148966946711,0.023268722008331404,0.05899999999999994,0.014352203220064122,0.04100000000000015,0.009733942139798505,0.017999999999999794,1.4744492019716502,0.023000000000000353
21,01103F9A64,31-2024-12-11,2024-12-11 08:40:31.230,0.1739068125158319,0.02805397220833188,0.05499999999999994,0.016149044998029227,0.03300000000000014,0.012820290504191876,0.021999999999999797,1.2596473529791654,0.011000000000000343
22,01103F9A64,32-2024-12-11,2024-12-11 08:41:28.229,0.17343810965076,0.02762119598160211,0.05300000000000016,0.016879145278975386,0.03400000000000003,0.011699229597438224,0.019000000000000128,1.4427569899706392,0.014999999999999902
23,01103F97C4,34-2024-12-11,2024-12-11 08:58:00.219,0.1501898370093083,0.016528341426867973,0.06700000000000017,0.01048832053935393,0.04800000000000004,0.006525733852709958,0.019000000000000128,1.607224685542212,0.028999999999999915
24,01103F97C4,35-2024-12-11,2024-12-11 10:21:09.837,0.1618435114270358,0.014133402510158608,0.03699999999999992,0.009148678262656064,0.02400000000000002,0.005621816453581413,0.0129999999999999,1.6273527138773523,0.01100000000000012
25,01103F97C4,37-2024-12-11,2024-12-11 10:23:31.836,0.1576122741640823,0.019303099314866273,0.062000000000000055,0.013431352604114781,0.04600000000000004,0.006467237412727256,0.016000000000000014,2.0768299889041395,0.030000000000000027
26,01103F97C4,39-2024-12-11,2024-12-11 10:25:36.837,0.15501903078117,0.01835721007460693,0.06199999999999983,0.012452657933838375,0.04499999999999993,0.00644626546817699,0.016999999999999904,1.9317631263113337,0.028000000000000025
