,id,status,visit_datetime,datetime,event_no,bodyweight,max_Ftot,max_Fx,max_Fy,time_max_Ftot,Fx_maxFtot,Fy_maxFtot,time_max_Fx,time_max_Fy,max_Fz,time_max_Fz,species,sex,age,bw_filled
1201,3B00182A81,Depart,2024-12-22 09:19:01.025684,2024-12-22 09:18:59.371,66-2024-12-22,0.0991547467342568,0.22556913020222707,0.20813731900403568,0.0531697617174365,0.001,0.04230147825335346,-0.22144034413477137,0.402,0.394,0.011001203414010003,0.361,bluti,F,6,1
1202,3B004873F2,Arrive,2024-12-22 09:19:04.182843,2024-12-22 09:19:05.370,67-2024-12-22,0.10004265975347058,0.521722627209225,0.35628638593586376,0.032990703613732277,0.802,0.3554549270360825,-0.37992128855931545,0.801,0.479,0.041452721120948,0.75,bluti,F,5,1
1203,3B004873F2,Depart,2024-12-22 09:19:07.195360,2024-12-22 09:19:05.370,67-2024-12-22,0.1000426597534706,0.521722627209225,0.35628638593586376,0.032990703613732277,0.802,0.3554549270360825,-0.37992128855931545,0.801,0.479,0.041452721120948,0.75,bluti,F,5,1
1204,3B001857EE,Arrive,2024-12-22 09:19:58.716117,2024-12-22 09:20:00.371,68-2024-12-22,0.0977687392677557,0.26676533992190027,0.22334246109490435,0.016487128247883086,0.532,0.21609979983403876,-0.1514783088325495,0.526,0.032,0.05317088125096845,0.206,bluti,M,6,1
1205,3B001857EE,Depart,2024-12-22 09:20:01.526918,2024-12-22 09:20:00.371,68-2024-12-22,0.0977687392677557,0.26676533992190027,0.22334246109490435,0.016487128247883086,0.532,0.21609979983403876,-0.1514783088325495,0.526,0.032,0.05317088125096845,0.206,bluti,M,6,1
1206,011016B2E1,Arrive,2024-12-22 09:20:07.633744,2024-12-22 09:20:09.369,69-2024-12-22,0.0975087086911109,0.1988948046725144,0.19054386787096816,0.05269643458520166,0.266,0.19054386787096816,0.05269643458520166,0.266,0.266,0.00117400157397628,0.168,bluti,F,6,0
1207,011016B2E1,Depart,2024-12-22 09:20:10.848190,2024-12-22 09:20:09.369,69-2024-12-22,0.0975087086911109,0.1988948046725144,0.19054386787096816,0.05269643458520166,0.266,0.19054386787096816,0.05269643458520166,0.266,0.266,0.00117400157397628,0.168,bluti,F,6,0
1208,3B004873F2,Arrive,2024-12-22 09:20:14.655395,2024-12-22 09:20:16.370,70-2024-12-22,0.1000426597534706,0.24255328447648009,0.2366003746229136,0.05402761198700168,0.167,0.2366003746229136,0.05317055514661647,0.167,0.169,0.03959161629160573,0.181,bluti,F,5,1
1209,3B004873F2,Depart,2024-12-22 09:20:17.868450,2024-12-22 09:20:16.370,70-2024-12-22,0.10004265975347061,0.24255328447648009,0.2366003746229136,0.05402761198700168,0.167,0.2366003746229136,0.05317055514661647,0.167,0.169,0.03959161629160573,0.181,bluti,F,5,1
1210,3B00192E1E,Arrive,2024-12-22 09:20:17.869983,2024-12-22 09:20:19.371,71-2024-12-22,0.09305585780769213,0.1367897190212615,0.13591300934779585,0.01991207914183474,0.95,0.13591300934779585,0.015462218165812046,0.95,0.938,0.011015045581147185,0.931,bluti,M,6,0
1211,3B00192E1E,Depart,2024-12-22 09:20:22.090336,2024-12-22 09:20:19.371,71-2024-12-22,0.09305585780769213,0.1367897190212615,0.13591300934779585,0.01991207914183474,0.95,0.13591300934779585,0.015462218165812046,0.95,0.938,0.011015045581147185,0.931,bluti,M,6,0
