,id,status,visit_datetime,datetime,event_no,bodyweight,max_Ftot,max_Fx,max_Fy,time_max_Ftot,Fx_maxFtot,Fy_maxFtot,time_max_Fx,time_max_Fy,max_Fz,time_max_Fz,species,sex,age,bw_filled
5260,3B0018A99B,Depart,2025-02-07 08:11:32.252282,2025-02-07 08:11:28.305,19-2025-02-07,0.08888436556764015,0.11605790533967304,0.11598321433117392,0.011410781243768556,0.954,0.11598321433117392,0.003231605144207593,0.954,0.054,0.020718568464296445,1.331,bluti,M,5,0
5261,3B00192E1E,Arrive,2025-02-07 08:12:08.866646,2025-02-07 08:12:10.305,20-2025-02-07,0.10139949933255883,0.3358285444153596,0.10055407999234066,0.25338789119742233,1.0,-0.22034259798070593,0.25338789119742233,0.968,1.0,0.02669960776714365,0.957,bluti,M,6,1
5262,3B00192E1E,Depart,2025-02-07 08:12:12.081206,2025-02-07 08:12:10.305,20-2025-02-07,0.10139949933255883,0.3358285444153596,0.10055407999234066,0.25338789119742233,1.0,-0.22034259798070593,0.25338789119742233,0.968,1.0,0.02669960776714365,0.957,bluti,M,6,1
5263,01103F9A64,Arrive,2025-02-07 08:15:20.845752,2025-02-07 08:15:22.302,21-2025-02-07,0.1709550895537207,0.8933049586899094,0.5754886074424764,0.05228576419119556,4.111,0.574225810744302,-0.6736886672117307,4.109,0.161,0.03691732733802192,3.609,greti,M ,5,0
5264,3B0018A99B,Arrive,2025-02-07 08:15:43.017024,2025-02-07 08:15:44.301,22-2025-02-07,0.08961469072393702,0.2997771532047277,0.26429440997884296,0.027659888631021704,2.118,0.26004739586714,-0.13031458784494546,2.116,1.656,0.07976166972399958,2.121,bluti,M,5,0
5265,3B0018A99B,Depart,2025-02-07 08:15:46.031705,2025-02-07 08:15:44.301,22-2025-02-07,0.08961469072393702,0.2997771532047277,0.26429440997884296,0.027659888631021704,2.118,0.26004739586714,-0.13031458784494546,2.116,1.656,0.07976166972399958,2.121,bluti,M,5,0
5266,01103F9A64,Arrive,2025-02-07 08:17:35.888584,2025-02-07 08:17:37.299,23-2025-02-07,0.19023237924436845,0.8555377563077573,0.5534099462350507,0.05349590193166335,1.15,0.5534099462350507,-0.6480116218364116,1.15,0.284,0.05600400364508001,0.182,greti,M ,5,1
5267,01103F9A64,Depart,2025-02-07 08:17:39.503173,2025-02-07 08:17:37.299,23-2025-02-07,0.19023237924436842,0.8555377563077573,0.5534099462350507,0.05349590193166335,1.15,0.5534099462350507,-0.6480116218364116,1.15,0.284,0.05600400364508001,0.182,greti,M ,5,1
5268,3B0019B8CC,Arrive,2025-02-07 08:20:34.279660,2025-02-07 08:20:35.297,24-2025-02-07,0.15091857321626087,0.23719370122201983,0.23566889239212535,0.03220553112890928,0.023,0.23566889239212535,0.0024134798895820058,0.023,0.313,0.033614682503966445,0.065,greti,F,5,0
5269,3B0019B8CC,Depart,2025-02-07 08:20:38.095880,2025-02-07 08:20:35.297,24-2025-02-07,0.15091857321626087,0.23719370122201983,0.23566889239212535,0.03220553112890928,0.023,0.23566889239212535,0.0024134798895820058,0.023,0.313,0.033614682503966445,0.065,greti,F,5,0
