,id,visit,visit_datetime,group,scare_control,scare_outcome,day,datetime,event_no,bodyweight,max_Ftot,max_Fx,max_Fy,time_max_Ftot,Fx_maxFtot,Fy_maxFtot,time_max_Fx,time_max_Fy,max_Fz,time_max_Fz,species,sex,age,exp_order,prev_scares,bw_filled
27,3B004CD4DE,not first visit,2024-12-12 09:09:09.918573,control,nah,0.0,2024-12-12,2024-12-12 09:09:10.722,49-2024-12-12,0.1003986183690209,0.5326170114901979,0.32841213197527724,0.03117792619241268,0.835,0.3221907239166831,-0.42003099182543535,0.832,0.202,0.027344078888107647,0.794,bluti,M,5,1,0.0,1
28,3B0018C2F6,first visit,2024-12-12 09:12:07.021646,control,nah,0.0,2024-12-12,2024-12-12 09:12:07.724,51-2024-12-12,0.1599103303268931,0.949654357335323,0.6750461111135504,0.049296686687749086,2.215,0.673167962869708,-0.6270816121119065,2.216,1.652,0.25034054091339747,2.219,greti,F,6,1,,0
29,3B0018A99B,not first visit,2024-12-12 09:13:06.690574,control,nah,0.0,2024-12-12,2024-12-12 09:13:07.725,52-2024-12-12,0.09575324175177652,0.2991184677016524,0.24519903583374827,0.021236428344253423,1.011,0.24210788758620222,-0.16862557808327208,1.009,0.266,0.058583220688210355,1.015,bluti,M,5,1,0.0,1
30,01103F97C4,not first visit,2024-12-12 09:19:02.679610,control,nah,0.0,2024-12-12,2024-12-12 09:19:03.729,59-2024-12-12,0.18306894265391516,0.6891124891758026,0.5448685217082629,0.06872439378016255,3.04,0.5425469556832891,-0.36764089397513305,3.039,4.588,0.05997149965315414,2.506,greti,M ,5,1,0.0,1
31,3B0018C2F6,not first visit,2024-12-12 09:19:08.308524,control,nah,0.0,2024-12-12,2024-12-12 09:19:09.729,60-2024-12-12,0.16005430048952582,1.0544735686203957,0.767992342696145,0.015301350737702809,0.042,0.7604025459387946,-0.6505391175662882,0.04,0.07,0.010353886432345576,0.063,greti,F,6,1,0.0,1
32,01103F97C4,not first visit,2024-12-12 09:20:07.331810,control,nah,0.0,2024-12-12,2024-12-12 09:20:08.729,62-2024-12-12,0.18306894265391516,0.8069947793829858,0.6535559124065073,0.05504658082401663,1.187,0.647051542198157,-0.43839892748902204,1.185,0.157,0.2018006905527713,1.186,greti,M ,5,1,0.0,1
33,0700ED9568,first visit,2024-12-12 09:23:39.682401,control,nah,0.0,2024-12-12,2024-12-12 09:23:39.732,65-2024-12-12,0.17562770571377215,0.8442369613170456,0.5001560656243969,0.050567697700334174,1.101,0.4956146812757523,-0.6771339823616045,1.099,0.482,0.05979769838200052,0.547,greti,M,6,1,,0
34,3B00192E1E,not first visit,2024-12-12 09:28:15.958222,control,nah,0.0,2024-12-12,2024-12-12 09:28:17.735,67-2024-12-12,0.10075251587527521,0.4929683376709195,0.35490257748076837,0.015157707848164219,0.243,0.352974459783335,-0.34372933540235723,0.241,0.143,0.022767645929285357,0.238,bluti,M,6,1,0.0,1
35,3B00192E1E,not first visit,2024-12-12 09:29:06.730580,control,nah,0.0,2024-12-12,2024-12-12 09:29:07.734,68-2024-12-12,0.10075251587527521,0.4660397570566698,0.3405323972526283,0.015227724052245074,1.05,0.33790824082726395,-0.3194271974373813,1.048,0.039,0.03644965663389943,1.045,bluti,M,6,1,0.0,1
36,3B0018C6F9,not first visit,2024-12-12 09:31:34.431375,control,nah,0.0,2024-12-12,2024-12-12 09:31:35.737,72-2024-12-12,0.09403809307273955,0.22024424797923595,0.2145633665692704,0.044368475332163294,0.168,0.2145633665692704,0.04364657742338649,0.168,0.165,0.02419225093747861,0.187,bluti,M,6,1,0.0,1
37,3B0018C6F9,not first visit,2024-12-12 09:32:21.620892,control,nah,0.0,2024-12-12,2024-12-12 09:32:22.738,73-2024-12-12,0.09776963888258973,0.6114861274007916,0.39406300692071444,0.01954762986335297,1.134,0.39406300692071444,-0.46751616492711234,1.134,0.77,0.03208296879572862,0.815,bluti,M,6,1,0.0,0
